Frequency (Hz)	Level (dB)
46.875000	-39.221390
93.750000	-35.612026
140.625000	-35.458767
187.500000	-24.505646
234.375000	-14.229495
281.250000	-14.072950
328.125000	-21.884085
375.000000	-29.490877
421.875000	-29.563835
468.750000	-32.110023
515.625000	-32.217094
562.500000	-32.717567
609.375000	-38.727432
656.250000	-54.232582
703.125000	-60.119450
750.000000	-67.517525
796.875000	-69.332802
843.750000	-67.693047
890.625000	-66.901085
937.500000	-63.611713
984.375000	-59.453686
1031.250000	-60.498619
1078.125000	-56.342316
1125.000000	-57.168346
1171.875000	-59.108292
1218.750000	-56.845375
1265.625000	-56.630257
1312.500000	-58.228237
1359.375000	-53.544937
1406.250000	-54.345772
1453.125000	-62.507301
1500.000000	-63.875271
1546.875000	-61.312981
1593.750000	-61.169403
1640.625000	-63.475864
1687.500000	-65.116989
1734.375000	-69.775772
1781.250000	-72.881439
1828.125000	-73.693336
1875.000000	-62.531845
1921.875000	-56.151577
1968.750000	-57.796726
2015.625000	-64.422813
2062.500000	-65.255112
2109.375000	-55.701485
2156.250000	-51.591766
2203.125000	-55.685432
2250.000000	-66.113022
2296.875000	-70.640434
2343.750000	-70.763443
2390.625000	-67.111404
2437.500000	-65.677498
2484.375000	-67.997520
2531.250000	-73.241188
2578.125000	-80.286476
2625.000000	-79.598389
2671.875000	-79.306725
2718.750000	-82.046371
2765.625000	-83.382240
2812.500000	-85.139694
2859.375000	-85.454926
2906.250000	-85.991997
2953.125000	-84.157417
3000.000000	-84.253784
3046.875000	-81.835312
3093.750000	-83.826469
3140.625000	-87.373123
3187.500000	-88.684883
3234.375000	-88.298599
3281.250000	-86.622391
3328.125000	-83.084091
3375.000000	-80.177002
3421.875000	-83.995033
3468.750000	-87.103203
3515.625000	-87.397636
3562.500000	-87.792931
3609.375000	-87.847580
3656.250000	-88.366707
3703.125000	-88.480232
3750.000000	-87.449554
3796.875000	-85.974159
3843.750000	-86.444122
3890.625000	-87.505081
3937.500000	-86.698479
3984.375000	-87.141258
4031.250000	-89.293625
4078.125000	-89.380875
4125.000000	-89.298515
4171.875000	-89.476456
4218.750000	-89.385284
4265.625000	-89.200043
4312.500000	-89.342560
4359.375000	-89.073448
4406.250000	-88.576241
4453.125000	-87.174965
4500.000000	-86.144066
4546.875000	-87.149704
4593.750000	-88.043106
4640.625000	-89.048927
4687.500000	-89.756210
4734.375000	-89.741249
4781.250000	-89.711929
4828.125000	-89.735916
4875.000000	-89.621300
4921.875000	-89.491821
4968.750000	-89.432770
5015.625000	-89.620712
5062.500000	-89.562790
5109.375000	-89.388840
5156.250000	-88.939560
5203.125000	-88.951347
5250.000000	-89.363937
5296.875000	-89.521858
5343.750000	-89.628418
5390.625000	-89.476204
5437.500000	-89.511780
5484.375000	-89.732140
5531.250000	-89.705223
5578.125000	-89.819176
5625.000000	-89.761223
