Frequency (Hz)	Level (dB)
46.875000	-34.817707
93.750000	-31.075596
140.625000	-30.226084
187.500000	-35.938187
234.375000	-35.573883
281.250000	-33.290184
328.125000	-32.830166
375.000000	-34.770241
421.875000	-33.666950
468.750000	-34.031414
515.625000	-39.983044
562.500000	-48.247467
609.375000	-51.997669
656.250000	-58.778614
703.125000	-64.919228
750.000000	-67.596428
796.875000	-63.212986
843.750000	-59.328842
890.625000	-60.583755
937.500000	-60.909527
984.375000	-62.384842
1031.250000	-61.370346
1078.125000	-59.478355
1125.000000	-62.230293
1171.875000	-65.363800
1218.750000	-64.253075
1265.625000	-64.921257
1312.500000	-63.601227
1359.375000	-61.757725
1406.250000	-59.545296
1453.125000	-57.772694
1500.000000	-58.391266
1546.875000	-60.347458
1593.750000	-65.001564
1640.625000	-68.009964
1687.500000	-70.314163
1734.375000	-68.788857
1781.250000	-64.770721
1828.125000	-64.084267
1875.000000	-61.557301
1921.875000	-59.526630
1968.750000	-64.364891
2015.625000	-67.656334
2062.500000	-58.713463
2109.375000	-53.112408
2156.250000	-51.319458
2203.125000	-53.833015
2250.000000	-63.980366
2296.875000	-72.095039
2343.750000	-73.979546
2390.625000	-73.885384
2437.500000	-74.613510
2484.375000	-72.807327
2531.250000	-71.059799
2578.125000	-72.186516
2625.000000	-70.404030
2671.875000	-71.998398
2718.750000	-74.597527
2765.625000	-73.123543
2812.500000	-75.419647
2859.375000	-72.522751
2906.250000	-71.101570
2953.125000	-72.369751
3000.000000	-75.745369
3046.875000	-76.896698
3093.750000	-75.692726
3140.625000	-75.827515
3187.500000	-77.090706
3234.375000	-76.109161
3281.250000	-75.883553
3328.125000	-75.269669
3375.000000	-75.556450
3421.875000	-77.597801
3468.750000	-76.634911
3515.625000	-76.877480
3562.500000	-76.602203
3609.375000	-75.841309
3656.250000	-77.224152
3703.125000	-78.447716
3750.000000	-77.281128
3796.875000	-76.304634
3843.750000	-76.642410
3890.625000	-77.528709
3937.500000	-77.738121
3984.375000	-77.616516
4031.250000	-76.432503
4078.125000	-75.923996
4125.000000	-77.736366
4171.875000	-78.386314
4218.750000	-78.378357
4265.625000	-78.148392
4312.500000	-76.610077
4359.375000	-77.497162
4406.250000	-78.519508
4453.125000	-78.672661
4500.000000	-78.365288
4546.875000	-77.867599
4593.750000	-77.952217
4640.625000	-78.546165
4687.500000	-78.586983
4734.375000	-78.423279
4781.250000	-78.348869
4828.125000	-78.489754
4875.000000	-78.527550
4921.875000	-78.902321
4968.750000	-78.756363
5015.625000	-77.262993
5062.500000	-76.790886
5109.375000	-78.214890
5156.250000	-78.588715
5203.125000	-78.964546
5250.000000	-79.290031
5296.875000	-79.472511
5343.750000	-79.036827
5390.625000	-79.040962
5437.500000	-79.025818
5484.375000	-79.154984
5531.250000	-79.458488
5578.125000	-79.052055
5625.000000	-79.261032
5671.875000	-79.264275
5718.750000	-79.405830
5765.625000	-79.170799
5812.500000	-79.105141
5859.375000	-78.806671
5906.250000	-78.994278
5953.125000	-79.477470
6000.000000	-79.913475
6046.875000	-80.152908
6093.750000	-79.988731
6140.625000	-80.054031
6187.500000	-79.764214
6234.375000	-79.912865
6281.250000	-79.822197
6328.125000	-79.789932
6375.000000	-80.002213
6421.875000	-79.901802
6468.750000	-79.860291
6515.625000	-79.981041
6562.500000	-79.398438
6609.375000	-78.817947
6656.250000	-79.910141
6703.125000	-79.812737
6750.000000	-79.825485
6796.875000	-80.067688
6843.750000	-79.936493
6890.625000	-80.114960
6937.500000	-80.278427
