Frequency (Hz)	Level (dB)
46.875000	-39.474285
93.750000	-28.192379
140.625000	-27.565449
187.500000	-39.927715
234.375000	-47.429668
281.250000	-46.855377
328.125000	-42.183903
375.000000	-42.233093
421.875000	-46.329967
468.750000	-49.600517
515.625000	-50.854477
562.500000	-54.055992
609.375000	-52.874954
656.250000	-60.734436
703.125000	-67.536209
750.000000	-67.890305
796.875000	-61.455280
843.750000	-57.018360
890.625000	-62.977352
937.500000	-67.683998
984.375000	-68.141731
1031.250000	-63.980587
1078.125000	-58.326015
1125.000000	-63.193348
1171.875000	-65.644165
1218.750000	-63.368904
1265.625000	-66.128677
1312.500000	-63.193081
1359.375000	-66.446510
1406.250000	-70.661819
1453.125000	-69.077278
1500.000000	-66.722557
1546.875000	-63.634888
1593.750000	-66.274361
1640.625000	-71.079468
1687.500000	-70.129974
1734.375000	-68.062370
1781.250000	-62.948071
1828.125000	-61.650070
1875.000000	-58.545742
1921.875000	-58.624310
1968.750000	-66.075279
2015.625000	-67.616035
2062.500000	-62.266834
2109.375000	-57.282780
2156.250000	-53.572937
2203.125000	-55.737179
2250.000000	-64.190598
2296.875000	-69.938400
2343.750000	-73.245705
2390.625000	-72.304138
2437.500000	-72.820274
2484.375000	-70.089836
2531.250000	-67.915001
2578.125000	-70.688423
2625.000000	-69.617958
2671.875000	-71.077087
2718.750000	-71.893990
2765.625000	-70.082848
2812.500000	-73.225616
2859.375000	-71.568535
2906.250000	-71.682007
2953.125000	-74.392891
3000.000000	-74.131767
3046.875000	-74.720604
3093.750000	-73.184044
3140.625000	-73.140091
3187.500000	-74.611267
3234.375000	-72.431046
3281.250000	-73.242981
3328.125000	-72.512260
3375.000000	-72.138847
3421.875000	-75.371307
3468.750000	-73.416916
3515.625000	-74.249535
3562.500000	-74.413033
3609.375000	-73.294304
3656.250000	-75.482071
3703.125000	-76.325043
3750.000000	-75.872658
3796.875000	-74.707924
3843.750000	-74.160027
3890.625000	-75.841492
3937.500000	-75.323990
3984.375000	-75.293159
4031.250000	-74.832359
4078.125000	-72.992592
4125.000000	-75.423172
4171.875000	-76.212929
4218.750000	-75.481621
4265.625000	-76.270668
4312.500000	-74.381226
4359.375000	-75.557426
4406.250000	-76.903442
4453.125000	-77.331520
4500.000000	-77.134659
4546.875000	-76.409340
4593.750000	-76.698296
4640.625000	-76.898163
4687.500000	-76.171463
4734.375000	-76.346313
4781.250000	-75.299294
4828.125000	-75.735970
4875.000000	-76.861488
4921.875000	-76.002434
4968.750000	-77.068634
5015.625000	-75.650131
5062.500000	-75.514282
5109.375000	-76.932854
5156.250000	-76.896500
5203.125000	-77.643105
5250.000000	-77.786575
5296.875000	-77.676170
5343.750000	-77.704704
5390.625000	-76.975250
5437.500000	-77.078560
5484.375000	-77.031960
5531.250000	-77.005081
5578.125000	-77.573196
5625.000000	-76.935890
5671.875000	-77.293869
5718.750000	-77.515701
5765.625000	-76.386391
5812.500000	-77.138611
5859.375000	-77.280090
5906.250000	-77.469398
5953.125000	-78.059212
6000.000000	-78.174896
6046.875000	-77.915222
6093.750000	-77.949730
6140.625000	-78.022400
6187.500000	-77.946320
6234.375000	-77.784378
6281.250000	-77.851425
6328.125000	-77.708641
6375.000000	-77.541992
6421.875000	-78.445145
6468.750000	-77.875427
6515.625000	-77.786682
6562.500000	-77.610138
6609.375000	-77.187187
6656.250000	-78.430199
6703.125000	-78.314438
6750.000000	-78.277466
6796.875000	-78.420601
6843.750000	-78.442215
6890.625000	-78.403122
6937.500000	-78.144249
6984.375000	-78.064194
7031.250000	-78.296211
7078.125000	-78.029823
7125.000000	-78.730309
7171.875000	-78.600922
7218.750000	-77.996513
7265.625000	-78.226723
7312.500000	-77.806427
7359.375000	-78.391792
7406.250000	-78.395699
7453.125000	-78.080498
7500.000000	-78.557068
7546.875000	-78.876129
7593.750000	-78.942154
7640.625000	-78.877411
7687.500000	-78.832672
7734.375000	-78.913696
7781.250000	-78.590599
7828.125000	-78.809387
7875.000000	-78.919746
7921.875000	-78.108856
7968.750000	-78.665588
8015.625000	-78.653770
8062.500000	-78.766968
8109.375000	-78.752502
8156.250000	-78.186653
8203.125000	-78.833389
8250.000000	-79.414352
8296.875000	-79.369431
8343.750000	-79.357635
8390.625000	-79.099365
8437.500000	-79.080360
8484.375000	-79.271301
8531.250000	-79.067665
8578.125000	-79.121315
8625.000000	-77.947937
8671.875000	-78.252533
8718.750000	-79.063118
8765.625000	-79.265717
8812.500000	-79.225037
8859.375000	-78.688660
8906.250000	-78.775162
8953.125000	-79.621841
9000.000000	-79.555885
9046.875000	-79.351646
9093.750000	-78.887398
9140.625000	-78.817795
9187.500000	-79.613045
9234.375000	-79.637810
9281.250000	-79.367783
9328.125000	-79.091774
9375.000000	-78.940063
9421.875000	-79.384933
9468.750000	-79.512459
9515.625000	-79.410019
9562.500000	-78.859543
9609.375000	-78.544998
9656.250000	-79.478546
9703.125000	-79.557304
9750.000000	-79.453850
9796.875000	-79.440231
9843.750000	-78.914124
9890.625000	-79.235153
9937.500000	-79.438934
9984.375000	-79.324471
10031.250000	-79.304207
10078.125000	-79.058327
10125.000000	-79.263237
10171.875000	-79.684921
10218.750000	-79.883408
10265.625000	-79.548248
10312.500000	-78.906891
10359.375000	-79.450966
10406.250000	-79.478668
10453.125000	-79.501923
10500.000000	-79.657211
10546.875000	-79.074913
10593.750000	-79.163589
10640.625000	-79.620110
10687.500000	-79.427032
10734.375000	-79.727783
10781.250000	-79.581398
10828.125000	-79.549522
10875.000000	-79.643211
10921.875000	-79.694511
10968.750000	-79.782410
11015.625000	-79.464516
11062.500000	-79.112297
11109.375000	-79.610435
11156.250000	-79.576515
11203.125000	-79.786781
11250.000000	-79.630157
11296.875000	-79.454735
11343.750000	-79.819046
11390.625000	-79.684296
11437.500000	-79.689819
11484.375000	-79.737663
11531.250000	-79.705696
11578.125000	-79.773117
11625.000000	-79.788277
11671.875000	-79.671608
11718.750000	-79.503448
11765.625000	-79.181976
11812.500000	-79.528763
11859.375000	-79.551888
11906.250000	-79.616570
11953.125000	-79.826050
12000.000000	-79.801399
12046.875000	-79.860153
12093.750000	-79.550461
12140.625000	-79.215569
12187.500000	-79.520470
12234.375000	-79.666771
12281.250000	-79.799187
12328.125000	-79.546738
12375.000000	-79.541237
12421.875000	-79.630074
12468.750000	-79.597908
12515.625000	-79.709686
12562.500000	-79.681908
12609.375000	-79.285629
12656.250000	-80.011238
12703.125000	-80.076218
12750.000000	-79.896156
12796.875000	-79.763634
12843.750000	-79.520470
12890.625000	-79.875366
12937.500000	-79.873123
12984.375000	-79.875175
13031.250000	-79.922310
13078.125000	-79.758293
13125.000000	-79.676430
13171.875000	-79.779251
13218.750000	-79.807617
13265.625000	-79.731468
13312.500000	-79.500549
13359.375000	-79.542358
13406.250000	-79.837250
13453.125000	-79.712357
13500.000000	-79.811012
13546.875000	-79.647507
13593.750000	-79.853035
13640.625000	-80.019806
13687.500000	-79.941490
13734.375000	-79.930611
13781.250000	-79.799919
13828.125000	-79.860573
13875.000000	-79.920959
13921.875000	-79.695953
13968.750000	-79.763489
14015.625000	-79.669708
14062.500000	-79.659836
14109.375000	-79.913635
14156.250000	-79.875496
14203.125000	-79.869827
14250.000000	-79.742706
14296.875000	-79.854439
14343.750000	-79.922607
14390.625000	-79.988960
14437.500000	-80.057060
14484.375000	-79.946228
14531.250000	-79.712578
14578.125000	-80.012085
14625.000000	-79.995262
14671.875000	-79.824844
14718.750000	-79.824883
14765.625000	-79.753403
14812.500000	-79.978256
14859.375000	-79.734756
14906.250000	-79.725563
14953.125000	-79.832291
15000.000000	-79.893936
15046.875000	-80.024536
15093.750000	-80.037422
15140.625000	-79.948929
15187.500000	-79.893562
15234.375000	-79.787117
15281.250000	-79.924683
15328.125000	-79.698204
15375.000000	-79.650940
15421.875000	-79.852448
15468.750000	-79.851036
15515.625000	-79.851189
15562.500000	-79.992355
15609.375000	-79.661186
15656.250000	-79.717804
15703.125000	-79.974892
15750.000000	-79.798080
15796.875000	-79.616241
15843.750000	-79.763573
15890.625000	-80.051941
15937.500000	-80.006813
15984.375000	-79.780495
16031.250000	-79.734459
16078.125000	-79.822319
16125.000000	-80.017632
16171.875000	-80.110100
16218.750000	-80.013229
16265.625000	-79.948807
16312.500000	-80.014099
16359.375000	-79.901070
16406.250000	-79.735641
16453.125000	-79.779663
16500.000000	-79.963646
16546.875000	-79.988228
16593.750000	-79.724258
16640.625000	-79.833069
16687.500000	-79.786629
16734.375000	-79.811867
16781.250000	-80.007576
16828.125000	-80.026459
16875.000000	-80.295609
16921.875000	-79.936264
16968.750000	-79.791817
17015.625000	-79.953896
17062.500000	-80.118515
17109.375000	-80.024246
17156.250000	-79.807045
17203.125000	-79.824577
17250.000000	-79.715591
17296.875000	-79.584015
17343.750000	-79.867325
17390.625000	-79.829102
17437.500000	-79.816460
17484.375000	-80.177048
17531.250000	-80.186295
17578.125000	-80.060783
17625.000000	-80.288506
17671.875000	-80.292999
17718.750000	-79.929985
17765.625000	-79.890999
17812.500000	-80.153397
17859.375000	-80.063499
17906.250000	-80.227753
17953.125000	-80.129059
18000.000000	-80.000191
18046.875000	-79.814972
18093.750000	-79.720009
18140.625000	-79.879875
18187.500000	-79.835571
18234.375000	-80.093155
18281.250000	-80.035858
18328.125000	-79.843971
18375.000000	-79.925026
18421.875000	-79.893951
18468.750000	-79.928383
18515.625000	-79.928444
18562.500000	-79.540909
18609.375000	-79.712898
18656.250000	-79.993622
18703.125000	-79.992996
18750.000000	-80.196617
18796.875000	-79.992424
18843.750000	-79.680855
18890.625000	-79.915985
18937.500000	-80.292664
18984.375000	-80.212624
19031.250000	-80.057106
19078.125000	-79.980377
19125.000000	-79.836388
19171.875000	-79.832916
19218.750000	-80.129883
19265.625000	-80.085838
19312.500000	-79.975067
19359.375000	-80.029388
19406.250000	-80.225494
19453.125000	-80.247032
