Frequency (Hz)	Level (dB)
46.875000	-40.906197
93.750000	-37.893063
140.625000	-37.563557
187.500000	-43.134914
234.375000	-42.013523
281.250000	-42.330120
328.125000	-42.308697
375.000000	-40.377995
421.875000	-39.550358
468.750000	-37.873581
515.625000	-39.064907
562.500000	-45.881763
609.375000	-51.031811
656.250000	-55.757111
703.125000	-63.378174
750.000000	-65.529343
796.875000	-67.342934
843.750000	-65.852180
890.625000	-60.971748
937.500000	-48.803547
984.375000	-41.592228
1031.250000	-43.900639
1078.125000	-59.417694
1125.000000	-66.467499
1171.875000	-63.055962
1218.750000	-60.494938
1265.625000	-58.657642
1312.500000	-55.581802
1359.375000	-56.964687
1406.250000	-56.898720
1453.125000	-52.783890
1500.000000	-49.077988
1546.875000	-52.986759
1593.750000	-57.619068
1640.625000	-63.051876
1687.500000	-68.531662
1734.375000	-71.302834
1781.250000	-70.867950
1828.125000	-66.432732
1875.000000	-48.809662
1921.875000	-43.575924
1968.750000	-44.546490
2015.625000	-45.943558
2062.500000	-54.214088
2109.375000	-55.611813
2156.250000	-56.942162
2203.125000	-61.870785
2250.000000	-68.039696
2296.875000	-72.770164
2343.750000	-71.393242
2390.625000	-68.826988
2437.500000	-69.817123
2484.375000	-75.374039
2531.250000	-76.811203
2578.125000	-79.428093
2625.000000	-79.864960
2671.875000	-78.957726
2718.750000	-80.370949
2765.625000	-81.142616
2812.500000	-82.701584
2859.375000	-80.649994
2906.250000	-80.869133
2953.125000	-73.202370
3000.000000	-67.441917
3046.875000	-72.934013
3093.750000	-82.819435
3140.625000	-83.997940
3187.500000	-86.049042
3234.375000	-85.871567
3281.250000	-85.450851
3328.125000	-86.162903
3375.000000	-85.759216
3421.875000	-85.993042
3468.750000	-85.386055
3515.625000	-83.758743
3562.500000	-85.881317
3609.375000	-85.527679
3656.250000	-85.716446
3703.125000	-85.758354
3750.000000	-82.315895
3796.875000	-83.226326
3843.750000	-81.718109
3890.625000	-78.790970
3937.500000	-80.504799
3984.375000	-74.003548
4031.250000	-75.668213
4078.125000	-85.355553
4125.000000	-82.883469
4171.875000	-81.258598
4218.750000	-84.807678
4265.625000	-86.180130
4312.500000	-84.156334
4359.375000	-85.093048
4406.250000	-78.572037
4453.125000	-70.037987
4500.000000	-65.058167
4546.875000	-70.706017
4593.750000	-82.294403
4640.625000	-86.801430
4687.500000	-85.735695
4734.375000	-85.642754
4781.250000	-86.789688
4828.125000	-85.295891
4875.000000	-85.857391
4921.875000	-86.472046
4968.750000	-78.587036
5015.625000	-77.466003
5062.500000	-83.786011
5109.375000	-82.528603
5156.250000	-83.654854
5203.125000	-86.702278
5250.000000	-87.136627
5296.875000	-86.804581
5343.750000	-87.936096
5390.625000	-86.802818
5437.500000	-85.150703
5484.375000	-85.935738
5531.250000	-86.082733
5578.125000	-86.025055
5625.000000	-86.853531
5671.875000	-87.832855
5718.750000	-87.810272
5765.625000	-87.698425
5812.500000	-87.849808
5859.375000	-87.882980
5906.250000	-88.038231
5953.125000	-83.849800
6000.000000	-79.195221
6046.875000	-83.530357
6093.750000	-87.811020
6140.625000	-88.141602
6187.500000	-87.947327
6234.375000	-87.945824
6281.250000	-88.041084
6328.125000	-87.961578
6375.000000	-88.127365
6421.875000	-88.237358
6468.750000	-87.463058
6515.625000	-87.382240
6562.500000	-87.837654
6609.375000	-85.689301
6656.250000	-84.182449
6703.125000	-84.703079
6750.000000	-84.955467
6796.875000	-83.263649
6843.750000	-84.367989
6890.625000	-83.755264
6937.500000	-82.951401
6984.375000	-83.734863
7031.250000	-85.481148
7078.125000	-86.884262
7125.000000	-86.388733
7171.875000	-87.042465
7218.750000	-87.384995
7265.625000	-87.763405
7312.500000	-87.063492
7359.375000	-87.305809
7406.250000	-88.004112
7453.125000	-87.347923
7500.000000	-87.880440
7546.875000	-88.227699
7593.750000	-88.130432
7640.625000	-88.185394
7687.500000	-88.210327
