Frequency (Hz)	Level (dB)
46.875000	-39.424965
93.750000	-27.635317
140.625000	-26.949629
187.500000	-39.611198
234.375000	-50.663982
281.250000	-54.675720
328.125000	-44.881691
375.000000	-42.806423
421.875000	-52.707066
468.750000	-56.859352
515.625000	-55.966995
562.500000	-56.129101
609.375000	-53.091442
656.250000	-61.205799
703.125000	-69.636673
750.000000	-69.624107
796.875000	-60.308331
843.750000	-55.592785
890.625000	-61.878658
937.500000	-56.029259
984.375000	-45.387894
1031.250000	-47.261383
1078.125000	-58.058624
1125.000000	-63.562775
1171.875000	-69.549393
1218.750000	-69.056580
1265.625000	-69.647507
1312.500000	-64.435921
1359.375000	-67.282158
1406.250000	-71.976082
1453.125000	-72.379768
1500.000000	-70.023483
1546.875000	-62.908329
1593.750000	-64.991692
1640.625000	-71.382103
1687.500000	-70.695831
1734.375000	-72.144928
1781.250000	-66.775314
1828.125000	-67.609093
1875.000000	-73.692238
1921.875000	-73.405510
1968.750000	-59.376072
2015.625000	-57.294754
2062.500000	-65.561989
2109.375000	-72.602615
2156.250000	-73.474388
2203.125000	-73.095192
2250.000000	-69.346146
2296.875000	-68.263580
2343.750000	-72.512283
2390.625000	-72.010078
2437.500000	-73.298447
2484.375000	-71.986351
2531.250000	-70.181488
2578.125000	-73.132828
2625.000000	-74.652046
2671.875000	-74.601196
2718.750000	-71.901375
2765.625000	-69.187279
2812.500000	-72.593994
2859.375000	-72.097755
2906.250000	-72.682564
2953.125000	-72.125191
3000.000000	-67.715134
3046.875000	-71.825493
3093.750000	-72.972832
3140.625000	-72.649788
3187.500000	-75.541359
3234.375000	-75.005310
3281.250000	-75.131668
3328.125000	-75.277138
3375.000000	-75.226830
3421.875000	-74.867828
3468.750000	-72.581802
3515.625000	-73.525955
3562.500000	-74.517456
3609.375000	-74.391655
3656.250000	-75.739250
3703.125000	-74.115883
3750.000000	-74.437759
3796.875000	-75.125198
3843.750000	-74.634064
3890.625000	-76.344887
3937.500000	-75.806686
3984.375000	-69.787209
4031.250000	-71.053932
4078.125000	-74.858864
4125.000000	-76.641144
4171.875000	-76.084946
4218.750000	-75.322578
4265.625000	-75.866745
4312.500000	-74.525993
4359.375000	-76.221497
4406.250000	-76.509422
4453.125000	-75.567436
4500.000000	-77.100365
4546.875000	-78.940063
4593.750000	-78.760078
4640.625000	-77.050438
4687.500000	-75.741524
4734.375000	-76.922935
4781.250000	-77.085335
4828.125000	-77.552788
4875.000000	-77.445740
4921.875000	-75.722717
4968.750000	-76.633408
5015.625000	-75.496689
5062.500000	-76.091385
5109.375000	-78.130539
5156.250000	-76.436996
5203.125000	-77.897232
5250.000000	-79.033386
5296.875000	-79.158836
5343.750000	-78.634842
5390.625000	-75.977058
5437.500000	-76.877647
5484.375000	-78.036919
5531.250000	-78.196251
5578.125000	-78.679947
5625.000000	-76.275986
5671.875000	-77.149261
5718.750000	-78.906174
5765.625000	-78.026917
5812.500000	-78.695206
5859.375000	-77.525055
5906.250000	-77.755394
5953.125000	-78.686592
6000.000000	-76.572227
6046.875000	-78.688103
6093.750000	-77.442726
6140.625000	-76.803284
6187.500000	-78.859413
6234.375000	-78.740562
6281.250000	-79.266525
6328.125000	-77.724289
6375.000000	-76.868011
6421.875000	-79.801048
6468.750000	-80.089714
6515.625000	-79.973785
6562.500000	-78.573204
6609.375000	-77.032570
6656.250000	-79.658394
6703.125000	-80.180733
6750.000000	-80.029221
6796.875000	-78.806458
6843.750000	-77.017471
6890.625000	-79.390526
6937.500000	-79.359825
6984.375000	-78.963722
7031.250000	-78.935799
7078.125000	-77.083527
7125.000000	-79.061729
7171.875000	-80.286469
7218.750000	-80.333328
7265.625000	-80.120850
7312.500000	-78.319656
7359.375000	-79.462189
7406.250000	-80.381248
7453.125000	-80.139458
7500.000000	-79.700226
7546.875000	-77.623734
7593.750000	-78.577065
7640.625000	-80.169640
7687.500000	-79.658302
7734.375000	-80.277885
7781.250000	-78.538948
7828.125000	-78.960091
7875.000000	-80.665230
7921.875000	-80.064857
7968.750000	-79.751236
8015.625000	-78.702080
8062.500000	-79.334152
8109.375000	-80.821632
8156.250000	-80.154434
8203.125000	-80.351990
8250.000000	-78.969101
8296.875000	-78.169434
8343.750000	-80.192879
8390.625000	-79.327072
8437.500000	-80.144249
8484.375000	-80.197868
8531.250000	-79.823997
8578.125000	-80.997398
8625.000000	-80.045982
8671.875000	-80.154320
8718.750000	-80.399368
8765.625000	-79.632034
8812.500000	-80.499771
8859.375000	-80.082497
8906.250000	-80.141220
8953.125000	-80.350563
9000.000000	-78.716454
9046.875000	-79.904480
9093.750000	-79.493019
9140.625000	-79.158943
9187.500000	-80.852859
9234.375000	-80.592606
9281.250000	-80.954231
9328.125000	-80.694984
9375.000000	-80.725792
9421.875000	-80.889793
9468.750000	-79.654488
9515.625000	-80.032593
9562.500000	-80.437332
9609.375000	-80.053062
9656.250000	-80.812027
9703.125000	-80.198776
9750.000000	-80.454094
9796.875000	-80.332214
9843.750000	-79.259583
9890.625000	-80.487907
9937.500000	-80.579941
9984.375000	-80.226410
10031.250000	-80.560928
10078.125000	-80.304558
10125.000000	-80.749542
10171.875000	-80.511108
10218.750000	-80.052597
10265.625000	-80.376480
10312.500000	-79.799553
10359.375000	-80.337067
10406.250000	-80.777260
10453.125000	-80.988388
10500.000000	-80.964287
10546.875000	-80.437523
10593.750000	-80.713547
10640.625000	-80.893486
10687.500000	-81.046860
10734.375000	-80.787971
10781.250000	-80.745804
10828.125000	-80.799438
10875.000000	-80.922951
10921.875000	-80.749130
10968.750000	-80.716446
11015.625000	-80.336166
11062.500000	-80.212547
11109.375000	-80.828064
11156.250000	-81.206764
11203.125000	-81.221100
11250.000000	-81.300789
11296.875000	-81.001724
11343.750000	-80.745216
11390.625000	-80.779556
11437.500000	-80.986488
11484.375000	-80.959663
11531.250000	-80.759056
11578.125000	-80.921501
11625.000000	-80.592827
11671.875000	-80.582909
11718.750000	-80.545120
11765.625000	-80.368805
11812.500000	-80.798698
11859.375000	-81.053146
11906.250000	-81.064583
11953.125000	-81.075943
12000.000000	-80.926445
12046.875000	-81.081032
12093.750000	-81.072212
12140.625000	-80.872757
12187.500000	-80.727127
12234.375000	-80.826515
12281.250000	-80.902359
12328.125000	-80.768898
12375.000000	-80.957726
12421.875000	-81.223473
12468.750000	-81.006104
12515.625000	-81.129608
12562.500000	-81.150505
12609.375000	-80.952660
12656.250000	-81.127609
12703.125000	-81.422859
12750.000000	-81.287331
12796.875000	-81.152740
12843.750000	-81.028549
12890.625000	-80.907234
12937.500000	-81.075737
12984.375000	-80.923668
13031.250000	-80.654678
13078.125000	-80.869545
13125.000000	-81.200150
13171.875000	-81.202065
13218.750000	-81.082466
13265.625000	-81.111137
13312.500000	-80.984657
13359.375000	-81.098579
13406.250000	-81.199333
13453.125000	-81.278458
13500.000000	-81.357635
13546.875000	-80.918793
13593.750000	-81.050011
13640.625000	-80.973045
13687.500000	-81.068291
13734.375000	-81.155090
13781.250000	-80.785614
13828.125000	-80.867485
13875.000000	-81.083687
13921.875000	-81.086876
13968.750000	-81.045738
14015.625000	-80.907249
14062.500000	-80.782715
14109.375000	-81.283058
14156.250000	-81.280151
14203.125000	-80.829185
14250.000000	-81.160545
14296.875000	-81.192474
14343.750000	-81.194702
14390.625000	-81.151978
14437.500000	-81.366692
14484.375000	-81.220695
14531.250000	-80.922241
14578.125000	-81.144028
14625.000000	-81.342735
14671.875000	-81.321220
14718.750000	-81.213570
14765.625000	-81.180435
14812.500000	-81.400002
14859.375000	-81.401207
14906.250000	-81.004990
14953.125000	-80.846596
15000.000000	-80.973297
15046.875000	-80.949608
15093.750000	-81.263290
15140.625000	-81.346169
15187.500000	-81.300529
15234.375000	-81.105904
15281.250000	-81.215233
15328.125000	-81.281029
15375.000000	-80.988457
15421.875000	-81.106834
15468.750000	-81.011108
15515.625000	-81.116119
15562.500000	-81.343300
15609.375000	-81.165146
15656.250000	-81.306053
15703.125000	-81.358047
15750.000000	-81.257751
15796.875000	-81.289581
15843.750000	-81.250137
15890.625000	-81.497154
15937.500000	-81.352699
15984.375000	-81.428192
16031.250000	-81.332466
16078.125000	-81.016876
16125.000000	-81.321732
16171.875000	-81.241837
16218.750000	-81.325668
16265.625000	-81.398163
16312.500000	-81.386993
16359.375000	-81.311684
16406.250000	-81.308060
16453.125000	-81.181267
16500.000000	-81.241081
16546.875000	-81.050827
16593.750000	-80.976151
16640.625000	-81.152222
16687.500000	-81.228363
16734.375000	-81.268852
16781.250000	-81.307854
16828.125000	-81.289864
16875.000000	-81.104546
16921.875000	-81.119186
16968.750000	-81.264626
17015.625000	-80.971291
17062.500000	-81.098213
17109.375000	-81.503609
17156.250000	-81.451103
17203.125000	-81.549362
17250.000000	-81.284508
17296.875000	-81.175507
17343.750000	-81.337318
17390.625000	-81.413368
17437.500000	-81.432671
17484.375000	-81.282295
17531.250000	-81.252098
17578.125000	-81.215614
17625.000000	-81.429924
17671.875000	-81.419548
17718.750000	-81.274231
17765.625000	-81.009979
17812.500000	-81.158371
17859.375000	-81.258720
17906.250000	-81.342598
17953.125000	-81.215523
18000.000000	-81.278023
18046.875000	-81.473129
18093.750000	-81.258774
18140.625000	-81.332985
18187.500000	-81.381493
18234.375000	-81.193756
18281.250000	-81.017456
18328.125000	-81.388374
18375.000000	-81.303024
18421.875000	-81.179459
18468.750000	-80.919159
18515.625000	-80.965797
18562.500000	-81.284233
18609.375000	-81.176140
18656.250000	-81.219078
18703.125000	-81.367531
18750.000000	-81.356285
18796.875000	-81.394318
18843.750000	-81.336250
18890.625000	-81.471443
18937.500000	-81.202171
18984.375000	-81.042046
19031.250000	-81.197716
19078.125000	-81.370392
19125.000000	-81.532333
19171.875000	-81.375969
19218.750000	-81.111031
19265.625000	-80.972702
19312.500000	-81.065857
19359.375000	-81.413490
19406.250000	-81.657265
19453.125000	-81.725426
19500.000000	-81.452759
19546.875000	-81.565804
19593.750000	-81.507347
19640.625000	-81.389107
19687.500000	-81.376083
19734.375000	-81.191170
19781.250000	-81.140236
19828.125000	-81.165657
19875.000000	-81.177330
19921.875000	-81.346657
19968.750000	-81.318398
20015.625000	-80.994942
20062.500000	-81.246452
20109.375000	-81.308685
20156.250000	-81.318405
20203.125000	-81.360184
20250.000000	-81.336235
20296.875000	-81.360725
20343.750000	-81.279770
20390.625000	-81.240097
20437.500000	-81.367203
20484.375000	-81.213249
20531.250000	-81.018318
20578.125000	-81.230103
20625.000000	-81.481804
20671.875000	-81.320023
20718.750000	-81.501205
20765.625000	-81.482910
20812.500000	-81.263641
20859.375000	-81.249901
20906.250000	-81.459427
20953.125000	-81.044601
21000.000000	-81.273155
21046.875000	-81.362991
21093.750000	-81.436020
21140.625000	-81.511757
21187.500000	-81.140846
21234.375000	-81.036423
21281.250000	-81.291603
21328.125000	-81.252068
21375.000000	-81.157524
21421.875000	-80.907959
21468.750000	-80.850983
21515.625000	-81.081474
21562.500000	-81.180367
21609.375000	-81.412895
21656.250000	-81.272354
21703.125000	-81.029358
21750.000000	-80.970726
21796.875000	-80.882812
21843.750000	-81.022354
21890.625000	-80.890808
21937.500000	-81.079910
21984.375000	-81.190628
22031.250000	-81.216530
22078.125000	-81.417725
22125.000000	-81.155945
22171.875000	-80.928123
22218.750000	-81.153954
22265.625000	-81.046425
22312.500000	-81.188049
22359.375000	-81.249107
22406.250000	-80.989349
22453.125000	-81.274902
22500.000000	-80.956970
22546.875000	-81.000618
22593.750000	-81.142227
22640.625000	-81.063675
22687.500000	-81.475601
22734.375000	-81.267975
22781.250000	-80.947960
22828.125000	-81.304359
22875.000000	-80.322495
22921.875000	-80.762436
22968.750000	-80.292923
23015.625000	-79.775337
23062.500000	-80.663216
23109.375000	-79.205162
23156.250000	-79.608780
23203.125000	-78.716621
23250.000000	-75.565773
23296.875000	-78.285614
23343.750000	-77.455399
23390.625000	-76.911446
23437.500000	-79.221977
23484.375000	-79.560715
23531.250000	-78.782059
23578.125000	-78.534096
