Frequency (Hz)	Level (dB)
46.875000	-31.116493
93.750000	-24.494509
140.625000	-25.519537
187.500000	-32.224590
234.375000	-31.999857
281.250000	-29.072620
328.125000	-28.846666
375.000000	-28.704147
421.875000	-28.221382
468.750000	-34.101795
515.625000	-38.440434
562.500000	-41.981365
609.375000	-45.308811
656.250000	-53.211273
703.125000	-55.870907
750.000000	-56.519669
796.875000	-56.142548
843.750000	-54.158691
890.625000	-55.823769
937.500000	-57.521843
984.375000	-58.089436
1031.250000	-58.381306
1078.125000	-57.971069
1125.000000	-57.774609
1171.875000	-52.448734
1218.750000	-48.552765
1265.625000	-51.227001
1312.500000	-59.082436
1359.375000	-62.728111
1406.250000	-59.686615
1453.125000	-54.671227
1500.000000	-49.955112
1546.875000	-50.373753
1593.750000	-54.524395
1640.625000	-57.686016
1687.500000	-55.568062
1734.375000	-51.118568
1781.250000	-47.212055
1828.125000	-45.706070
1875.000000	-41.748508
1921.875000	-39.636894
1968.750000	-44.794170
2015.625000	-51.617622
2062.500000	-41.775501
2109.375000	-36.177517
2156.250000	-33.058079
2203.125000	-35.733265
2250.000000	-45.134022
2296.875000	-56.462856
2343.750000	-62.735081
2390.625000	-64.672501
2437.500000	-60.905636
2484.375000	-58.649590
2531.250000	-56.943424
2578.125000	-56.354721
2625.000000	-57.236050
2671.875000	-59.303440
2718.750000	-58.994537
2765.625000	-62.609379
2812.500000	-66.182747
2859.375000	-62.386772
2906.250000	-57.097660
2953.125000	-58.372948
3000.000000	-63.566517
3046.875000	-63.105484
3093.750000	-63.823582
3140.625000	-65.638901
3187.500000	-64.137131
3234.375000	-62.067936
3281.250000	-60.704498
3328.125000	-61.274185
3375.000000	-64.166092
3421.875000	-67.562241
3468.750000	-68.176514
3515.625000	-68.169296
3562.500000	-68.976860
3609.375000	-68.363594
3656.250000	-66.669838
3703.125000	-67.224976
3750.000000	-64.534531
3796.875000	-62.111877
3843.750000	-64.041969
3890.625000	-66.353836
3937.500000	-64.342361
3984.375000	-64.533203
4031.250000	-64.499832
4078.125000	-65.881264
4125.000000	-67.193459
4171.875000	-68.750488
4218.750000	-68.064636
4265.625000	-67.858231
4312.500000	-67.469139
4359.375000	-67.276230
4406.250000	-68.218147
4453.125000	-70.641800
4500.000000	-67.132233
4546.875000	-60.653912
4593.750000	-61.384850
4640.625000	-67.595039
4687.500000	-68.673256
4734.375000	-67.819420
4781.250000	-66.382103
4828.125000	-66.326576
4875.000000	-67.732956
4921.875000	-69.565590
4968.750000	-68.479996
5015.625000	-65.882988
5062.500000	-67.766640
5109.375000	-68.872330
5156.250000	-69.323730
5203.125000	-69.814392
5250.000000	-69.105453
5296.875000	-69.052582
5343.750000	-69.530144
5390.625000	-68.775200
5437.500000	-69.131126
5484.375000	-69.479614
5531.250000	-69.955681
5578.125000	-70.308228
5625.000000	-70.239624
5671.875000	-69.777893
5718.750000	-69.539429
5765.625000	-69.946213
5812.500000	-70.429825
5859.375000	-70.207062
5906.250000	-70.195717
5953.125000	-70.446060
6000.000000	-70.734779
6046.875000	-70.819565
6093.750000	-70.485458
6140.625000	-70.389519
6187.500000	-70.684425
6234.375000	-70.778496
6281.250000	-70.707184
6328.125000	-70.653633
6375.000000	-70.817963
6421.875000	-71.139336
6468.750000	-70.899269
6515.625000	-70.960114
6562.500000	-71.092957
6609.375000	-70.777176
6656.250000	-71.244896
6703.125000	-71.554947
6750.000000	-71.763657
6796.875000	-71.603600
6843.750000	-71.123619
6890.625000	-70.960709
6937.500000	-71.057297
6984.375000	-71.185173
7031.250000	-71.256271
7078.125000	-71.272064
7125.000000	-72.107254
7171.875000	-72.635086
7218.750000	-71.665222
7265.625000	-71.440132
7312.500000	-71.659775
