Frequency (Hz)	Level (dB)
46.875000	-42.247974
93.750000	-48.681957
140.625000	-33.326138
187.500000	-21.792801
234.375000	-15.516253
281.250000	-18.292057
328.125000	-26.759089
375.000000	-25.202559
421.875000	-28.993641
468.750000	-26.039606
515.625000	-26.757055
562.500000	-35.879261
609.375000	-45.964046
656.250000	-51.621975
703.125000	-56.177307
750.000000	-58.964317
796.875000	-67.635597
843.750000	-69.072403
890.625000	-63.245583
937.500000	-56.690556
984.375000	-55.303265
1031.250000	-59.597218
1078.125000	-56.693859
1125.000000	-58.413937
1171.875000	-55.288879
1218.750000	-51.558674
1265.625000	-53.937103
1312.500000	-57.462242
1359.375000	-60.534019
1406.250000	-62.069706
1453.125000	-58.897144
1500.000000	-56.570324
1546.875000	-59.451153
1593.750000	-62.677067
1640.625000	-65.090950
1687.500000	-66.161896
1734.375000	-65.179741
1781.250000	-68.168610
1828.125000	-70.253654
1875.000000	-60.667774
1921.875000	-53.559135
1968.750000	-55.076183
2015.625000	-60.032593
2062.500000	-62.993954
2109.375000	-52.037151
2156.250000	-46.424427
2203.125000	-49.466698
2250.000000	-59.608788
2296.875000	-66.486374
2343.750000	-65.892197
2390.625000	-65.323784
2437.500000	-65.090195
2484.375000	-66.840881
2531.250000	-73.355415
2578.125000	-80.003593
2625.000000	-76.454620
2671.875000	-75.935272
2718.750000	-77.751984
2765.625000	-80.089546
2812.500000	-82.526711
2859.375000	-82.977608
2906.250000	-85.488113
2953.125000	-86.544769
3000.000000	-86.459129
3046.875000	-84.517105
3093.750000	-82.753662
3140.625000	-83.378670
3187.500000	-84.746216
3234.375000	-85.991295
3281.250000	-85.657959
3328.125000	-84.558533
3375.000000	-84.587257
3421.875000	-83.242401
3468.750000	-82.744873
3515.625000	-83.446701
3562.500000	-83.478676
3609.375000	-84.888306
3656.250000	-86.388832
3703.125000	-85.175835
3750.000000	-81.933136
3796.875000	-80.158119
3843.750000	-79.495613
3890.625000	-79.776581
3937.500000	-77.793503
3984.375000	-80.319122
4031.250000	-86.922607
4078.125000	-89.070076
4125.000000	-89.148010
4171.875000	-89.391220
4218.750000	-89.263275
4265.625000	-89.702751
4312.500000	-89.587952
4359.375000	-88.957138
4406.250000	-86.789207
4453.125000	-83.108818
4500.000000	-80.627632
4546.875000	-80.783981
4593.750000	-80.531334
4640.625000	-85.247734
4687.500000	-89.967323
4734.375000	-90.314339
4781.250000	-90.073273
4828.125000	-89.468971
4875.000000	-89.094681
4921.875000	-89.540924
4968.750000	-90.026543
5015.625000	-90.267639
5062.500000	-90.211014
5109.375000	-90.033310
5156.250000	-88.903267
5203.125000	-88.513733
5250.000000	-89.482719
5296.875000	-89.894135
5343.750000	-90.407883
5390.625000	-90.469284
5437.500000	-90.449745
5484.375000	-90.327515
5531.250000	-90.358528
5578.125000	-90.621674
5625.000000	-90.582283
5671.875000	-90.410133
5718.750000	-90.292297
5765.625000	-90.326607
5812.500000	-90.454475
5859.375000	-90.625343
5906.250000	-90.662811
5953.125000	-90.662399
6000.000000	-90.771698
6046.875000	-90.553864
6093.750000	-90.271759
6140.625000	-90.405373
6187.500000	-90.443848
6234.375000	-90.540817
6281.250000	-90.324287
6328.125000	-90.363533
6375.000000	-90.336349
6421.875000	-90.458969
6468.750000	-90.618103
6515.625000	-90.615463
6562.500000	-90.620979
6609.375000	-90.404251
6656.250000	-90.328926
6703.125000	-90.045731
6750.000000	-89.956650
6796.875000	-90.108147
6843.750000	-89.169479
6890.625000	-87.862862
6937.500000	-87.288651
6984.375000	-89.008492
7031.250000	-90.320854
7078.125000	-90.436592
7125.000000	-90.462059
7171.875000	-90.585442
7218.750000	-90.700951
7265.625000	-90.312103
7312.500000	-89.989403
7359.375000	-90.310013
7406.250000	-90.478195
7453.125000	-90.823456
7500.000000	-90.673317
7546.875000	-90.329369
7593.750000	-90.316727
7640.625000	-90.432098
7687.500000	-90.774002
7734.375000	-90.904625
7781.250000	-90.456154
7828.125000	-90.174500
7875.000000	-90.215134
7921.875000	-90.136276
7968.750000	-90.062355
8015.625000	-90.330559
8062.500000	-90.381271
8109.375000	-90.450294
8156.250000	-90.645340
8203.125000	-90.744926
8250.000000	-90.432877
8296.875000	-90.367142
8343.750000	-90.560158
8390.625000	-90.575867
8437.500000	-90.777687
8484.375000	-90.658829
8531.250000	-90.381615
8578.125000	-90.481682
8625.000000	-90.469429
8671.875000	-90.417526
8718.750000	-90.823898
8765.625000	-90.946053
8812.500000	-90.816811
8859.375000	-90.625732
8906.250000	-90.615265
8953.125000	-90.382263
9000.000000	-90.278389
9046.875000	-90.475380
9093.750000	-90.558891
9140.625000	-90.800758
9187.500000	-91.004082
9234.375000	-90.712639
9281.250000	-90.630768
9328.125000	-90.607971
9375.000000	-90.666924
9421.875000	-90.742882
9468.750000	-90.739670
9515.625000	-90.602814
9562.500000	-90.773743
9609.375000	-90.840088
